# time, signal
0.000000000000000000e+00,1.039992999999999945e+00
2.000000000000000096e-04,1.199993000000000087e+00
4.000000000000000192e-04,1.119993000000000016e+00
6.000000000000000559e-04,1.439993000000000078e+00
8.000000000000000383e-04,1.439993000000000078e+00
1.000000000000000021e-03,1.279992999999999936e+00
1.200000000000000112e-03,1.359993000000000007e+00
1.399999999999999986e-03,1.599992999999999999e+00
1.600000000000000077e-03,1.519992999999999927e+00
1.800000000000000168e-03,1.599992999999999999e+00
2.000000000000000042e-03,1.519992999999999927e+00
2.200000000000000133e-03,1.679993000000000070e+00
2.400000000000000223e-03,1.679993000000000070e+00
2.600000000000000314e-03,1.519992999999999927e+00
2.799999999999999972e-03,1.519992999999999927e+00
3.000000000000000062e-03,1.599992999999999999e+00
3.200000000000000153e-03,1.599992999999999999e+00
3.400000000000000244e-03,1.359993000000000007e+00
3.600000000000000335e-03,1.439993000000000078e+00
3.799999999999999992e-03,1.359993000000000007e+00
4.000000000000000083e-03,1.439993000000000078e+00
4.200000000000000608e-03,1.279992999999999936e+00
4.400000000000000265e-03,1.359993000000000007e+00
4.599999999999999922e-03,1.119993000000000016e+00
4.800000000000000447e-03,1.199993000000000087e+00
5.000000000000000104e-03,1.039992999999999945e+00
5.200000000000000629e-03,1.119993000000000016e+00
5.400000000000000286e-03,8.799926000000000137e-01
5.599999999999999943e-03,9.599925999999999737e-01
5.800000000000000468e-03,7.999926000000000537e-01
6.000000000000000125e-03,8.799926000000000137e-01
6.200000000000000649e-03,5.599927000000000099e-01
6.400000000000000307e-03,7.199925999999999826e-01
6.599999999999999964e-03,4.799926999999999944e-01
6.800000000000000488e-03,5.599927000000000099e-01
7.000000000000000146e-03,3.199927000000000188e-01
7.200000000000000670e-03,3.999926999999999788e-01
7.400000000000000328e-03,7.999272999999999800e-02
7.599999999999999985e-03,1.599926999999999877e-01
7.800000000000000509e-03,-8.000727000000000533e-02
8.000000000000000167e-03,-7.271767000000000134e-06
8.200000000000000691e-03,-2.400073000000000067e-01
8.400000000000001216e-03,-1.600072999999999912e-01
8.600000000000000006e-03,-4.800072000000000227e-01
8.800000000000000530e-03,-3.200072999999999945e-01
9.000000000000001055e-03,-6.400071999999999983e-01
9.199999999999999845e-03,-5.600072000000000383e-01
9.400000000000000369e-03,-7.200071999999999584e-01
9.600000000000000894e-03,-6.400071999999999983e-01
9.799999999999999684e-03,-8.800071000000000421e-01
1.000000000000000021e-02,-8.000072000000000294e-01
1.020000000000000073e-02,-9.600071000000000021e-01
1.040000000000000126e-02,-8.800071000000000421e-01
1.060000000000000005e-02,-1.040006999999999904e+00
1.080000000000000057e-02,-1.040006999999999904e+00
1.100000000000000110e-02,-1.200007000000000046e+00
1.119999999999999989e-02,-1.120006999999999975e+00
1.140000000000000041e-02,-1.280006999999999895e+00
1.160000000000000094e-02,-1.200007000000000046e+00
1.179999999999999973e-02,-1.440007000000000037e+00
1.200000000000000025e-02,-1.360006999999999966e+00
1.220000000000000077e-02,-1.520007000000000108e+00
1.240000000000000130e-02,-1.360006999999999966e+00
1.260000000000000009e-02,-1.520007000000000108e+00
1.280000000000000061e-02,-1.520007000000000108e+00
1.300000000000000114e-02,-1.440007000000000037e+00
1.319999999999999993e-02,-1.440007000000000037e+00
1.340000000000000045e-02,-1.520007000000000108e+00
1.360000000000000098e-02,-1.520007000000000108e+00
1.380000000000000150e-02,-1.440007000000000037e+00
1.400000000000000029e-02,-1.520007000000000108e+00
1.420000000000000082e-02,-1.360006999999999966e+00
1.440000000000000134e-02,-1.440007000000000037e+00
1.460000000000000013e-02,-1.200007000000000046e+00
1.480000000000000066e-02,-1.280006999999999895e+00
1.500000000000000118e-02,-1.120006999999999975e+00
1.519999999999999997e-02,-1.200007000000000046e+00
1.540000000000000049e-02,-9.600071000000000021e-01
1.560000000000000102e-02,-1.040006999999999904e+00
1.580000000000000154e-02,-8.000072000000000294e-01
1.600000000000000033e-02,-8.000072000000000294e-01
1.619999999999999912e-02,-9.600071000000000021e-01
1.640000000000000138e-02,-8.800071000000000421e-01
1.660000000000000017e-02,-5.600072000000000383e-01
1.680000000000000243e-02,-7.200071999999999584e-01
1.700000000000000122e-02,-4.000072000000000072e-01
1.720000000000000001e-02,-4.800072000000000227e-01
1.740000000000000227e-02,-3.200072999999999945e-01
1.760000000000000106e-02,-4.000072000000000072e-01
1.779999999999999985e-02,-1.600072999999999912e-01
1.800000000000000211e-02,-2.400073000000000067e-01
1.820000000000000090e-02,7.999272999999999800e-02
1.839999999999999969e-02,-7.271767000000000134e-06
1.860000000000000195e-02,1.599926999999999877e-01
1.880000000000000074e-02,7.999272999999999800e-02
1.899999999999999953e-02,3.199927000000000188e-01
1.920000000000000179e-02,2.399927000000000032e-01
1.940000000000000058e-02,3.999926999999999788e-01
1.959999999999999937e-02,3.199927000000000188e-01
1.980000000000000163e-02,6.399926999999999699e-01
2.000000000000000042e-02,5.599927000000000099e-01
2.020000000000000268e-02,7.199925999999999826e-01
2.040000000000000147e-02,7.199925999999999826e-01
2.060000000000000026e-02,9.599925999999999737e-01
2.080000000000000251e-02,8.799926000000000137e-01
2.100000000000000130e-02,1.199993000000000087e+00
2.120000000000000009e-02,1.119993000000000016e+00
2.140000000000000235e-02,1.359993000000000007e+00
2.160000000000000114e-02,1.279992999999999936e+00
2.179999999999999993e-02,1.439993000000000078e+00
2.200000000000000219e-02,1.359993000000000007e+00
2.220000000000000098e-02,1.599992999999999999e+00
2.239999999999999977e-02,1.359993000000000007e+00
2.260000000000000203e-02,1.679993000000000070e+00
2.280000000000000082e-02,1.519992999999999927e+00
2.299999999999999961e-02,1.679993000000000070e+00
2.320000000000000187e-02,1.679993000000000070e+00
2.340000000000000066e-02,1.519992999999999927e+00
2.359999999999999945e-02,1.679993000000000070e+00
2.380000000000000171e-02,1.519992999999999927e+00
2.400000000000000050e-02,1.519992999999999927e+00
2.420000000000000276e-02,1.599992999999999999e+00
2.440000000000000155e-02,1.599992999999999999e+00
2.460000000000000034e-02,1.359993000000000007e+00
2.480000000000000260e-02,1.359993000000000007e+00
2.500000000000000139e-02,1.439993000000000078e+00
2.520000000000000018e-02,1.439993000000000078e+00
2.540000000000000244e-02,1.279992999999999936e+00
2.560000000000000123e-02,1.359993000000000007e+00
2.580000000000000002e-02,1.119993000000000016e+00
2.600000000000000228e-02,1.199993000000000087e+00
2.620000000000000107e-02,1.039992999999999945e+00
2.639999999999999986e-02,1.119993000000000016e+00
2.660000000000000211e-02,7.999926000000000537e-01
2.680000000000000090e-02,9.599925999999999737e-01
2.699999999999999969e-02,7.199925999999999826e-01
2.720000000000000195e-02,7.199925999999999826e-01
2.740000000000000074e-02,5.599927000000000099e-01
2.760000000000000300e-02,6.399926999999999699e-01
2.780000000000000179e-02,4.799926999999999944e-01
2.800000000000000058e-02,4.799926999999999944e-01
2.820000000000000284e-02,2.399927000000000032e-01
2.840000000000000163e-02,3.199927000000000188e-01
2.860000000000000042e-02,-7.271767000000000134e-06
2.880000000000000268e-02,1.599926999999999877e-01
2.900000000000000147e-02,-1.600072999999999912e-01
2.920000000000000026e-02,-8.000727000000000533e-02
2.940000000000000252e-02,-4.000072000000000072e-01
2.960000000000000131e-02,-3.200072999999999945e-01
2.980000000000000010e-02,-4.800072000000000227e-01
3.000000000000000236e-02,-4.000072000000000072e-01
3.020000000000000115e-02,-6.400071999999999983e-01
3.039999999999999994e-02,-5.600072000000000383e-01
3.060000000000000220e-02,-8.000072000000000294e-01
3.080000000000000099e-02,-7.200071999999999584e-01
3.099999999999999978e-02,-9.600071000000000021e-01
3.120000000000000204e-02,-8.800071000000000421e-01
3.140000000000000430e-02,-1.040006999999999904e+00
3.160000000000000309e-02,-9.600071000000000021e-01
3.180000000000000188e-02,-1.200007000000000046e+00
3.200000000000000067e-02,-1.120006999999999975e+00
3.219999999999999946e-02,-1.280006999999999895e+00
3.239999999999999825e-02,-1.440007000000000037e+00
3.260000000000000397e-02,-1.200007000000000046e+00
3.280000000000000276e-02,-1.360006999999999966e+00
3.300000000000000155e-02,-1.520007000000000108e+00
3.320000000000000034e-02,-1.520007000000000108e+00
3.339999999999999913e-02,-1.440007000000000037e+00
3.360000000000000486e-02,-1.440007000000000037e+00
3.380000000000000365e-02,-1.520007000000000108e+00
3.400000000000000244e-02,-1.520007000000000108e+00
3.420000000000000123e-02,-1.440007000000000037e+00
3.440000000000000002e-02,-1.440007000000000037e+00
3.459999999999999881e-02,-1.520007000000000108e+00
3.480000000000000454e-02,-1.520007000000000108e+00
3.500000000000000333e-02,-1.360006999999999966e+00
3.520000000000000212e-02,-1.440007000000000037e+00
3.540000000000000091e-02,-1.200007000000000046e+00
3.559999999999999970e-02,-1.360006999999999966e+00
3.579999999999999849e-02,-1.120006999999999975e+00
3.600000000000000422e-02,-1.200007000000000046e+00
3.620000000000000301e-02,-9.600071000000000021e-01
3.640000000000000180e-02,-1.040006999999999904e+00
3.660000000000000059e-02,-8.800071000000000421e-01
3.679999999999999938e-02,-9.600071000000000021e-01
3.700000000000000511e-02,-8.000072000000000294e-01
3.720000000000000390e-02,-8.800071000000000421e-01
3.740000000000000269e-02,-6.400071999999999983e-01
3.760000000000000148e-02,-7.200071999999999584e-01
3.780000000000000027e-02,-5.600072000000000383e-01
3.799999999999999906e-02,-6.400071999999999983e-01
3.820000000000000479e-02,-4.000072000000000072e-01
3.840000000000000357e-02,-4.800072000000000227e-01
3.860000000000000236e-02,-3.200072999999999945e-01
3.880000000000000115e-02,-4.000072000000000072e-01
3.899999999999999994e-02,-8.000727000000000533e-02
3.919999999999999873e-02,-1.600072999999999912e-01
3.940000000000000446e-02,7.999272999999999800e-02
3.960000000000000325e-02,-7.271767000000000134e-06
3.980000000000000204e-02,3.199927000000000188e-01
4.000000000000000083e-02,1.599926999999999877e-01
4.019999999999999962e-02,3.999926999999999788e-01
4.040000000000000535e-02,3.199927000000000188e-01
4.060000000000000414e-02,5.599927000000000099e-01
4.080000000000000293e-02,4.799926999999999944e-01
4.100000000000000172e-02,7.199925999999999826e-01
4.120000000000000051e-02,6.399926999999999699e-01
4.139999999999999930e-02,9.599925999999999737e-01
4.160000000000000503e-02,8.799926000000000137e-01
4.180000000000000382e-02,1.119993000000000016e+00
4.200000000000000261e-02,1.039992999999999945e+00
4.220000000000000140e-02,1.359993000000000007e+00
4.240000000000000019e-02,1.279992999999999936e+00
4.259999999999999898e-02,1.439993000000000078e+00
4.280000000000000471e-02,1.359993000000000007e+00
4.300000000000000350e-02,1.599992999999999999e+00
4.320000000000000229e-02,1.519992999999999927e+00
4.340000000000000108e-02,1.599992999999999999e+00
4.359999999999999987e-02,1.519992999999999927e+00
4.379999999999999866e-02,1.679993000000000070e+00
4.400000000000000439e-02,1.679993000000000070e+00
4.420000000000000318e-02,1.599992999999999999e+00
4.440000000000000197e-02,1.599992999999999999e+00
4.460000000000000075e-02,1.679993000000000070e+00
4.479999999999999954e-02,1.679993000000000070e+00
4.500000000000000527e-02,1.519992999999999927e+00
4.520000000000000406e-02,1.519992999999999927e+00
4.540000000000000285e-02,1.599992999999999999e+00
4.560000000000000164e-02,1.599992999999999999e+00
4.580000000000000043e-02,1.359993000000000007e+00
4.599999999999999922e-02,1.439993000000000078e+00
4.620000000000000495e-02,1.359993000000000007e+00
4.640000000000000374e-02,1.439993000000000078e+00
4.660000000000000253e-02,1.279992999999999936e+00
4.680000000000000132e-02,1.359993000000000007e+00
4.700000000000000011e-02,1.119993000000000016e+00
4.719999999999999890e-02,1.199993000000000087e+00
4.740000000000000463e-02,8.799926000000000137e-01
4.760000000000000342e-02,9.599925999999999737e-01
4.780000000000000221e-02,7.999926000000000537e-01
4.800000000000000100e-02,8.799926000000000137e-01
4.819999999999999979e-02,6.399926999999999699e-01
4.840000000000000552e-02,7.199925999999999826e-01
4.860000000000000431e-02,4.799926999999999944e-01
4.880000000000000310e-02,5.599927000000000099e-01
4.900000000000000189e-02,3.199927000000000188e-01
4.920000000000000068e-02,3.999926999999999788e-01
4.939999999999999947e-02,7.999272999999999800e-02
4.960000000000000520e-02,1.599926999999999877e-01
4.980000000000000399e-02,-7.271767000000000134e-06
5.000000000000000278e-02,-7.271767000000000134e-06
5.020000000000000157e-02,-2.400073000000000067e-01
5.040000000000000036e-02,-1.600072999999999912e-01
5.059999999999999915e-02,-4.000072000000000072e-01
5.080000000000000487e-02,-3.200072999999999945e-01
5.100000000000000366e-02,-5.600072000000000383e-01
5.120000000000000245e-02,-4.000072000000000072e-01
5.140000000000000124e-02,-7.200071999999999584e-01
5.160000000000000003e-02,-6.400071999999999983e-01
5.180000000000000576e-02,-8.800071000000000421e-01
5.200000000000000455e-02,-8.000072000000000294e-01
5.220000000000000334e-02,-1.040006999999999904e+00
5.240000000000000213e-02,-8.800071000000000421e-01
5.260000000000000092e-02,-1.200007000000000046e+00
5.279999999999999971e-02,-1.120006999999999975e+00
5.300000000000000544e-02,-1.280006999999999895e+00
5.320000000000000423e-02,-1.200007000000000046e+00
5.340000000000000302e-02,-1.440007000000000037e+00
5.360000000000000181e-02,-1.440007000000000037e+00
5.380000000000000060e-02,-1.360006999999999966e+00
5.399999999999999939e-02,-1.360006999999999966e+00
5.420000000000000512e-02,-1.520007000000000108e+00
5.440000000000000391e-02,-1.520007000000000108e+00
5.460000000000000270e-02,-1.440007000000000037e+00
5.480000000000000149e-02,-1.440007000000000037e+00
5.500000000000000028e-02,-1.680007000000000028e+00
5.520000000000000601e-02,-1.440007000000000037e+00
5.540000000000000480e-02,-1.680007000000000028e+00
5.560000000000000359e-02,-1.520007000000000108e+00
5.580000000000000238e-02,-1.440007000000000037e+00
5.600000000000000117e-02,-1.520007000000000108e+00
5.619999999999999996e-02,-1.360006999999999966e+00
5.640000000000000568e-02,-1.440007000000000037e+00
5.660000000000000447e-02,-1.200007000000000046e+00
5.680000000000000326e-02,-1.280006999999999895e+00
5.700000000000000205e-02,-1.120006999999999975e+00
5.720000000000000084e-02,-1.200007000000000046e+00
5.739999999999999963e-02,-1.040006999999999904e+00
5.760000000000000536e-02,-1.040006999999999904e+00
5.780000000000000415e-02,-8.800071000000000421e-01
5.800000000000000294e-02,-9.600071000000000021e-01
5.820000000000000173e-02,-8.000072000000000294e-01
5.840000000000000052e-02,-8.800071000000000421e-01
5.860000000000000625e-02,-6.400071999999999983e-01
5.880000000000000504e-02,-7.200071999999999584e-01
5.900000000000000383e-02,-5.600072000000000383e-01
5.920000000000000262e-02,-6.400071999999999983e-01
5.940000000000000141e-02,-3.200072999999999945e-01
5.960000000000000020e-02,-4.000072000000000072e-01
5.980000000000000593e-02,-1.600072999999999912e-01
6.000000000000000472e-02,-2.400073000000000067e-01
6.020000000000000351e-02,-8.000727000000000533e-02
6.040000000000000230e-02,-1.600072999999999912e-01
6.060000000000000109e-02,1.599926999999999877e-01
6.079999999999999988e-02,7.999272999999999800e-02
6.100000000000000561e-02,3.199927000000000188e-01
6.120000000000000440e-02,2.399927000000000032e-01
6.140000000000000319e-02,4.799926999999999944e-01
6.160000000000000198e-02,3.999926999999999788e-01
6.180000000000000077e-02,6.399926999999999699e-01
6.199999999999999956e-02,5.599927000000000099e-01
6.220000000000000528e-02,8.799926000000000137e-01
6.240000000000000407e-02,7.999926000000000537e-01
6.260000000000000286e-02,1.119993000000000016e+00
6.280000000000000859e-02,9.599925999999999737e-01
6.300000000000000044e-02,1.199993000000000087e+00
6.320000000000000617e-02,1.359993000000000007e+00
6.339999999999999802e-02,1.119993000000000016e+00
6.360000000000000375e-02,1.279992999999999936e+00
6.380000000000000948e-02,1.599992999999999999e+00
6.400000000000000133e-02,1.359993000000000007e+00
6.420000000000000706e-02,1.599992999999999999e+00
6.439999999999999891e-02,1.519992999999999927e+00
6.460000000000000464e-02,1.679993000000000070e+00
6.479999999999999649e-02,1.599992999999999999e+00
6.500000000000000222e-02,1.679993000000000070e+00
6.520000000000000795e-02,1.679993000000000070e+00
6.539999999999999980e-02,1.599992999999999999e+00
6.560000000000000553e-02,1.599992999999999999e+00
6.579999999999999738e-02,1.679993000000000070e+00
6.600000000000000311e-02,1.679993000000000070e+00
6.620000000000000884e-02,1.519992999999999927e+00
6.640000000000000069e-02,1.679993000000000070e+00
6.660000000000000642e-02,1.519992999999999927e+00
6.679999999999999827e-02,1.599992999999999999e+00
6.700000000000000400e-02,1.359993000000000007e+00
6.720000000000000973e-02,1.439993000000000078e+00
6.740000000000000158e-02,1.279992999999999936e+00
6.760000000000000731e-02,1.359993000000000007e+00
6.779999999999999916e-02,1.119993000000000016e+00
6.800000000000000488e-02,1.199993000000000087e+00
6.819999999999999674e-02,1.039992999999999945e+00
6.840000000000000246e-02,1.119993000000000016e+00
6.860000000000000819e-02,8.799926000000000137e-01
6.880000000000000004e-02,9.599925999999999737e-01
6.900000000000000577e-02,7.199925999999999826e-01
6.919999999999999762e-02,8.799926000000000137e-01
6.940000000000000335e-02,5.599927000000000099e-01
6.960000000000000908e-02,6.399926999999999699e-01
6.980000000000000093e-02,4.799926999999999944e-01
7.000000000000000666e-02,5.599927000000000099e-01
7.019999999999999851e-02,2.399927000000000032e-01
7.040000000000000424e-02,3.199927000000000188e-01
7.060000000000000997e-02,-7.271767000000000134e-06
7.080000000000000182e-02,7.999272999999999800e-02
7.100000000000000755e-02,-1.600072999999999912e-01
7.119999999999999940e-02,-8.000727000000000533e-02
7.140000000000000513e-02,-4.000072000000000072e-01
7.159999999999999698e-02,-3.200072999999999945e-01
7.180000000000000271e-02,-4.800072000000000227e-01
7.200000000000000844e-02,-4.000072000000000072e-01
7.220000000000000029e-02,-7.200071999999999584e-01
7.240000000000000602e-02,-6.400071999999999983e-01
7.259999999999999787e-02,-8.800071000000000421e-01
7.280000000000000360e-02,-8.000072000000000294e-01
7.300000000000000933e-02,-9.600071000000000021e-01
7.320000000000000118e-02,-8.800071000000000421e-01
7.340000000000000691e-02,-1.200007000000000046e+00
7.359999999999999876e-02,-1.040006999999999904e+00
7.380000000000000449e-02,-1.280006999999999895e+00
7.400000000000001021e-02,-1.200007000000000046e+00
7.420000000000000207e-02,-1.440007000000000037e+00
7.440000000000000779e-02,-1.200007000000000046e+00
7.459999999999999964e-02,-1.440007000000000037e+00
7.480000000000000537e-02,-1.360006999999999966e+00
7.499999999999999722e-02,-1.520007000000000108e+00
7.520000000000000295e-02,-1.440007000000000037e+00
7.540000000000000868e-02,-1.680007000000000028e+00
7.560000000000000053e-02,-1.680007000000000028e+00
7.580000000000000626e-02,-1.440007000000000037e+00
7.599999999999999811e-02,-1.440007000000000037e+00
7.620000000000000384e-02,-1.680007000000000028e+00
7.640000000000000957e-02,-1.440007000000000037e+00
7.660000000000000142e-02,-1.680007000000000028e+00
7.680000000000000715e-02,-1.520007000000000108e+00
7.699999999999999900e-02,-1.440007000000000037e+00
7.720000000000000473e-02,-1.520007000000000108e+00
7.740000000000001046e-02,-1.360006999999999966e+00
7.760000000000000231e-02,-1.440007000000000037e+00
7.780000000000000804e-02,-1.200007000000000046e+00
7.799999999999999989e-02,-1.280006999999999895e+00
7.820000000000000562e-02,-1.120006999999999975e+00
7.839999999999999747e-02,-1.200007000000000046e+00
7.860000000000000320e-02,-8.800071000000000421e-01
7.880000000000000893e-02,-1.040006999999999904e+00
7.900000000000000078e-02,-8.000072000000000294e-01
7.920000000000000651e-02,-9.600071000000000021e-01
7.939999999999999836e-02,-6.400071999999999983e-01
7.960000000000000409e-02,-8.000072000000000294e-01
